track_id,track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,artist_genres,release_year
4AEpB1NhDW9Hgk9hZKcG5R,Bistro Europa,Global Genius,"This World Over, Vol. 2",2022-04-01,29,210913,False,,2022
44UVE3OdLbPEap9VtrAZEU,Obrigada Meu Amor,Global Genius,"This World Over, Vol. 1",2022-04-01,25,138987,False,,2022
1EeH3JZvWaEIOfLGx18EWc,Moon Over Milan,Global Genius,"This World Over, Vol. 2",2022-04-01,23,153333,False,,2022
4Z7Y8wXZW5m1MskicNK6i8,Jazzy Wanderer,Global Genius,"This World Over, Vol. 1",2022-04-01,22,227859,False,,2022
4gL1eTz74RnX7wPK5wB7tY,Say Everything,Global Genius,New Folk,2019-08-15,20,230995,False,,2019
1Inq2oLchJeIIo16x4cBZk,Caravan Concertina,Global Genius,"This World Over, Vol. 3",2022-04-01,18,198654,False,,2022
4YFwhuNrZf61DAd3bJpCCx,Every Kind of Light,Global Genius,New Folk,2019-08-15,16,189759,False,,2019
7GeyIo9MxOQSEKlAWjAFfg,I Must Be Dreaming,Global Genius,New Folk,2019-08-15,15,185047,False,,2019
3kTVj0MIQ6TCtlQ6X4yDkj,It’s A Kid’s World,Global Genius,"This World Over, Vol. 1",2022-04-01,12,185108,False,,2022
4Q9H04QsepIlowf0EgC7oi,Making Memories,Global Genius,New Folk,2019-08-15,12,223129,False,,2019
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,2019-08-23,89,178426,False,,2019
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,folklore,2020-07-24,88,261922,False,,2020
4R2kfaDFhslZEMJqAFNpdd,cardigan,Taylor Swift,folklore,2020-07-24,86,239560,False,,2020
0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,1989 (Deluxe),2014-01-01,84,231000,False,,2014
1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,83,231826,False,,2014
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,Lover,2019-08-23,86,221306,False,,2019
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,2024-04-18,83,228965,False,,2024
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,1989 (Deluxe),2014-01-01,81,219200,False,,2014
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,Taylor Swift,reputation,2017-11-10,83,236413,False,,2017
1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),2021-04-09,83,231124,False,,2021
0GRc3eGTg8HBdWLRGYgqIc,Azizam,Ed Sheeran,Azizam,2025-04-04,88,162029,False,soft pop,2025
4Q0qVhFQa7j6jRKzo3HDmP,Sapphire,Ed Sheeran,Sapphire,2025-06-05,88,179082,False,soft pop,2025
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷ (Deluxe),2017-03-03,88,233712,False,soft pop,2017
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,÷ (Deluxe),2017-03-03,88,263400,False,soft pop,2017
3FSPaBp49Clqq2p4zc9dbA,Photograph,Ed Sheeran,x (Wembley Edition),2013,58,258986,False,soft pop,2013
0k4nrrCsMr0Tao5WvQ8Osq,Thinking out Loud,Ed Sheeran,x (Wembley Edition),2013,54,281560,False,soft pop,2013
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,Ed Sheeran,=,2021-10-25,82,230746,False,soft pop,2021
50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,=,2021-10-25,82,207853,False,soft pop,2021
6hvRoJ0BTZywxu8UCPBkzx,I Don't Care,"Ed Sheeran, Justin Bieber",+-=÷× (Tour Collection),2024-09-27,68,219946,False,soft pop,2024
0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,÷ (Deluxe),2017-03-03,80,170826,False,soft pop,2017
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,2024-03-08,86,228639,False,pop,2024
1oFAF1hdPOickyHgbuRjyX,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",After Hours (Deluxe),2020-03-20,81,191013,False,pop,2020
76FZM38RC8XaAjJ77CVTNe,Into You,Ariana Grande,Dangerous Woman,2016-04-01,81,244453,False,pop,2016
7xoUc6faLbCqZO6fQEYprd,One Last Time,Ariana Grande,My Everything (Deluxe),2014-08-22,84,197266,False,pop,2014
142PiXzA84lmEw2RstFHFa,supernatural,Ariana Grande,eternal sunshine,2024-03-08,83,163381,False,pop,2024
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,"thank u, next",2019-02-08,83,178626,True,pop,2019
44ONERBHALxftQNWq6dmyd,Side To Side,"Ariana Grande, Nicki Minaj",Dangerous Woman,2016-04-01,80,226160,True,pop,2016
3nef5W8jTkXrOKgCu4kmq7,Dangerous Woman,Ariana Grande,Dangerous Woman,2016-04-01,79,235946,False,pop,2016
1edcyazKIdKrIuz9cWpXU6,twilight zone,Ariana Grande,eternal sunshine deluxe: brighter days ahead (a cappella version),2025-03-27,74,198320,False,pop,2025
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,"Ariana Grande, The Weeknd",My Everything (Deluxe),2014-08-22,81,236133,False,pop,2014
6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",The Lockdown Sessions,2021-10-22,78,202735,False,pop,2021
2ThsBNtjuUEERqcpXQEoYR,Don't Start Now,Dua Lipa,Future Nostalgia,2020-03-27,58,183290,False,pop,2020
76dIZzTdrNO15mGBrU3MHi,One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",96 Months,2024-08-08,76,214846,False,"edm, pop",2024
49gruEYzuJZoy4R2q5xVlT,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,2020-03-27,58,203064,False,pop,2020
3QftqIoFrzYaEOGrQdjWe7,New Rules,Dua Lipa,Dua Lipa (Complete Edition),2017-06-02,57,212000,False,pop,2017
5x9ElMtD3xy0verHZWOGqr,Houdini,Dua Lipa,Radical Optimism,2024-05-03,56,185917,False,pop,2024
